canonical_url,http_status,title,description,h1_count,og_image,robots,schema_types
https://www.zyenereviews.com,200,Review Management for Local Businesses | Zyene Reviews,"Send branded review requests, manage Google, Facebook, and Yelp feedback, reply with AI, and use Negative Feedback Shield for private follow-up. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Organization; SoftwareApplication; FAQPage
https://www.zyenereviews.com/about,200,About Us | Zyene Reviews,"Zyene Reviews helps local businesses build a review routine: invite feedback, respond with AI assistance, follow up privately, and learn from trends.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite
https://www.zyenereviews.com/contact,200,Contact Us | Zyene Reviews,"Reach out to the Zyene Reviews team for support, sales, or general inquiries. We typically respond within 24 hours, Monday through Friday.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite
https://www.zyenereviews.com/pricing,200,Pricing | Zyene Reviews,"Zyene Reviews plans starting at $29.99/mo. No annual contracts. No hidden fees. 7-day free trial on every plan. Compare Starter, Professional, and Enterprise.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; FAQPage; Product
https://www.zyenereviews.com/features,200,Features | Zyene Reviews,"Invite fair feedback, manage reviews, reply with AI, and act on local insights in one connected review-management platform.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/review-monitoring,200,Review Monitoring & Inbox | Zyene Reviews,"Centralized Google, Facebook, and Yelp review inbox with alerts, sentiment analysis, and filters for local businesses.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/ai-replies,200,AI-Powered Review Replies | Zyene Reviews,"Draft replies in your voice or automatically reply to new Google reviews. Choose star ratings and a Professional, Friendly, or Concise tone.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/review-collection,200,Review Collection & Negative Feedback Shield | Zyene Reviews,"Send branded SMS, email, link, and QR review requests with optional reminders and a private feedback path for timely follow-up.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/competitor-tracking,200,Competitor Tracking | Zyene Reviews,"Track competitor ratings, review volume, and trends with AI market briefs and alerts on every paid plan. See where you rank locally.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/local-seo,200,Local SEO Dashboard | Zyene Reviews,"GBP keyword performance, search insights, and actionable SEO fixes - included on Starter, not locked behind enterprise tiers.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/features/analytics,200,Analytics & Reporting | Zyene Reviews,"Review trends, sentiment, engagement funnel, PDF reports, and CSV exports - analytics for local teams on Zyene Reviews from $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/how-it-works,200,How It Works | Zyene Reviews,"Connect your profile, invite fair feedback, respond with AI, and use review and request signals to improve your local reputation in four steps.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/integrations,200,Review Platform Integrations | Zyene Reviews,"Sync Google, Facebook, and Yelp reviews. Trigger configurable review requests from your workflow with Zyene’s REST API or generic inbound webhook.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/industries,200,Review Management by Industry | Zyene Reviews,"Explore Zyene workflows for restaurants, dental, auto, salons, and more: branded review requests, AI-assisted replies, private feedback, and useful trends.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; BreadcrumbList
https://www.zyenereviews.com/industries/restaurants,200,Restaurant Review Management | Zyene Reviews,"Zyene Reviews helps restaurants get more Google reviews, respond faster with AI, and protect reputation with the Negative Feedback Shield. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/dental,200,Dental Practice Review Management | Zyene Reviews,"Dental practices get more Google reviews with HIPAA-aware AI replies, the Negative Feedback Shield, and competitor tracking. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/auto-repair,200,Auto Repair Review Management | Zyene Reviews,"Auto repair shops build trust with more Google reviews, AI replies, and the Negative Feedback Shield. Built for independent mechanics from $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/salons,200,Salon & Spa Review Management | Zyene Reviews,"Salons and spas grow Google reviews with automated requests, AI replies, and the Negative Feedback Shield. Built for beauty businesses from $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/home-services,200,Home Services Review Management | Zyene Reviews,"Plumbers, HVAC, and electricians win more jobs with review automation, AI replies, and private negative feedback routing. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/medical,200,Medical Practice Review Management | Zyene Reviews,"Medical practices attract patients with ethical review requests, HIPAA-aware AI replies, and the Negative Feedback Shield. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/hotels,200,Hotel Review Management | Zyene Reviews,"Hotels respond faster, collect post-stay reviews, and protect ratings with AI replies and the Negative Feedback Shield. From $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/industries/fitness,200,Gym & Fitness Review Management | Zyene Reviews,"Gyms and studios attract members with automated review requests, AI replies, and the Negative Feedback Shield. Built for fitness from $29.99/mo.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; Service; BreadcrumbList
https://www.zyenereviews.com/compare,200,"Compare Zyene Reviews vs Review Platforms, 2026 | Zyene Reviews","Compare Zyene Reviews vs Birdeye, Podium, NiceJob, GatherUp, and Prosperly: pricing, AI replies, review workflows, and buyer-fit tradeoffs.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; FAQPage; BreadcrumbList
https://www.zyenereviews.com/compare/birdeye,200,Zyene Reviews vs Birdeye: Pricing and Features | Zyene Reviews,"Compare Zyene Reviews and Birdeye: public pricing, review workflows, plan allowances and questions to ask before choosing a platform.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; WebPage; BreadcrumbList
https://www.zyenereviews.com/compare/podium,200,Zyene Reviews vs Podium: Pricing and Features | Zyene Reviews,"Compare Zyene Reviews and Podium: public pricing, review workflows, plan allowances and questions to ask before choosing a platform.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; WebPage; BreadcrumbList
https://www.zyenereviews.com/compare/nicejob,200,Zyene Reviews vs NiceJob: Pricing and Features | Zyene Reviews,"Compare Zyene Reviews and NiceJob: public pricing, review workflows, plan allowances and questions to ask before choosing a platform.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; WebPage; BreadcrumbList
https://www.zyenereviews.com/compare/gatherup,200,Zyene Reviews vs GatherUp: Pricing and Features | Zyene Reviews,"Compare Zyene Reviews and GatherUp: public pricing, review workflows, plan allowances and questions to ask before choosing a platform.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; WebPage; BreadcrumbList
https://www.zyenereviews.com/compare/prosperly,200,Zyene Reviews vs Prosperly: 2026 Comparison | Zyene Reviews,"Compare Zyene Reviews and Prosperly on pricing, review requests, AI replies, private feedback, local SEO, widgets, API access, and ideal fit.",1,https://www.zyenereviews.com/og/og-default.png,,WebSite; WebPage; FAQPage; BreadcrumbList
